,emg timestamp,esp timestamp,ch_1,ch_2,ch_3,ch_4,foot angle,shank angle,shank-90,ankle ankle,index
0,1618666413.02,1618666413.0154,-445.4407959,-142.8847504,-98.19481659,-69.33213806,-0.4,88.8,-1.2000000000000028,0.8000000000000028,0.0
1,1618666413.051,1618666413.0483599,-425.9110413,-115.0524139,-71.51062775,-30.83360481,-0.4,88.8,-1.2000000000000028,0.8000000000000028,1.0
2,1618666413.051,1618666413.04938,-440.6761475,-127.3566818,-90.79354858,-54.50717163,-0.4,88.8,-1.2000000000000028,0.8000000000000028,2.0
3,1618666413.08,1618666413.08336,-414.152771,-133.4228058,-87.5473175,-77.88902283,-0.4,88.8,-1.2000000000000028,0.8000000000000028,3.0
4,1618666413.08,1618666413.08434,-405.8876038,-139.6497345,-92.73455811,-93.61156464,-0.4,88.8,-1.2000000000000028,0.8000000000000028,4.0
5,1618666413.127,1618666413.1203198,-404.7506714,-116.6717911,-93.83035278,-96.46137238,-0.3,88.7,-1.2999999999999972,0.9999999999999971,5.0
6,1618666413.127,1618666413.12232,-398.5162659,-124.8920898,-75.93119049,-84.43011475,-0.3,88.7,-1.2999999999999972,0.9999999999999971,6.0
7,1618666413.156,1618666413.14833,-397.8842163,-125.5054321,-81.11469269,-146.284317,-0.3,88.7,-1.2999999999999972,0.9999999999999971,7.0
8,1618666413.186,1618666413.18029,-386.3279114,-131.306015,-85.688591,-110.2578583,-0.3,88.7,-1.2999999999999972,0.9999999999999971,8.0
9,1618666413.186,1618666413.1812901,-375.4597778,-137.2001038,-86.69836426,-119.9441986,-0.3,88.7,-1.2999999999999972,0.9999999999999971,9.0
10,1618666413.216,1618666413.2152698,-399.7691345,-140.0798187,-91.81828308,-121.5972366,-0.4,88.7,-1.2999999999999972,0.8999999999999971,10.0
11,1618666413.246,1618666413.24525,-366.973938,-115.1272125,-80.74817657,-103.140831,-0.4,88.7,-1.2999999999999972,0.8999999999999971,11.0
12,1618666413.246,1618666413.24626,-357.9533081,-106.9031677,-67.9165802,-112.0230942,-0.4,88.7,-1.2999999999999972,0.8999999999999971,12.0
13,1618666413.277,1618666413.28023,-357.0183411,-129.1219177,-83.6316452,-142.1816406,-0.4,88.6,-1.4000000000000057,1.0000000000000058,13.0
14,1618666413.277,1618666413.2822301,-372.3781128,-151.2882996,-100.3863983,-150.0204773,-0.4,88.6,-1.4000000000000057,1.0000000000000058,14.0
15,1618666413.321,1618666413.32021,-358.5255127,-114.4016724,-83.53814697,-160.6904144,-0.4,88.6,-1.4000000000000057,1.0000000000000058,15.0
16,1618666413.336,1618666413.3302,-383.1938782,-124.3460617,-83.36985016,-127.8653107,-0.4,88.6,-1.4000000000000057,1.0000000000000058,16.0
17,1618666413.35,1618666413.34919,-369.7901001,-119.9666443,-86.57868195,-112.9393692,-0.4,88.6,-1.4000000000000057,1.0000000000000058,17.0
18,1618666413.38,1618666413.3801699,-340.6113892,-126.2085342,-45.70157623,-170.171051,-0.4,88.6,-1.4000000000000057,1.0000000000000058,18.0
19,1618666413.38,1618666413.38117,-377.0305481,-103.5110779,-104.8480988,-122.8501053,-0.4,88.6,-1.4000000000000057,1.0000000000000058,19.0
20,1618666413.411,1618666413.41415,-371.9218445,-99.01946259,-83.6727829,-120.5687637,-0.4,88.5,-1.5,1.1,20.0
21,1618666413.456,1618666413.44913,-353.5963135,-124.4844437,-92.01275635,-156.6887207,-0.4,88.5,-1.5,1.1,21.0
22,1618666413.456,1618666413.45213,-333.1802063,-81.43070984,-84.49555969,-139.7806244,-0.4,88.5,-1.5,1.1,22.0
23,1618666413.486,1618666413.47811,-327.9518127,-110.7365646,-76.05460358,-143.8234558,-0.4,88.5,-1.5,1.1,23.0
24,1618666413.516,1618666413.51409,-338.6816101,-129.2864685,-86.8105545,-160.5408173,-0.3,88.4,-1.5999999999999943,1.2999999999999943,24.0
25,1618666413.516,1618666413.51509,-306.6156921,-99.31491089,-60.63125992,-142.8174286,-0.3,88.4,-1.5999999999999943,1.2999999999999943,25.0
26,1618666413.546,1618666413.54108,-314.5517578,-118.8596268,-64.51140594,-160.1855316,-0.3,88.3,-1.7000000000000028,1.4000000000000028,26.0
27,1618666413.546,1618666413.54308,-320.3822632,-116.0173035,-67.578125,-135.6255951,-0.3,88.3,-1.7000000000000028,1.4000000000000028,27.0
28,1618666413.575,1618666413.58006,-303.26474,-120.0451813,-48.45601273,-136.2202454,-0.4,88.3,-1.7000000000000028,1.300000000000003,28.0
29,1618666413.575,1618666413.58105,-316.4030151,-117.0756989,-56.77729034,-86.58055115,-0.4,88.3,-1.7000000000000028,1.300000000000003,29.0
30,1618666413.621,1618666413.61467,-301.215271,-127.8727875,-55.6852417,-151.2359467,-0.4,88.3,-1.7000000000000028,1.300000000000003,30.0
31,1618666413.635,1618666413.64166,-309.1326599,-115.6246185,-36.70898819,-139.9825897,-0.4,88.2,-1.7999999999999972,1.3999999999999972,31.0
32,1618666413.651,1618666413.64467,-320.6627502,-125.3483582,-41.26418686,-131.2237396,-0.4,88.2,-1.7999999999999972,1.3999999999999972,32.0
33,1618666413.681,1618666413.67564,-276.315033,-131.8221283,-27.62477112,-123.7551575,-0.4,88.1,-1.9000000000000057,1.5000000000000058,33.0
34,1618666413.711,1618666413.70962,-300.1456604,-115.6694946,-32.06029129,-136.0033264,-0.4,88.1,-1.9000000000000057,1.5000000000000058,34.0
35,1618666413.711,1618666413.71062,-279.8866272,-119.371994,-29.55455971,-160.7764282,-0.4,88.1,-1.9000000000000057,1.5000000000000058,35.0
36,1618666413.741,1618666413.7376,-262.769104,-109.827774,-21.59979248,-134.0660706,-0.4,88.0,-2.0,1.6,36.0
37,1618666413.771,1618666413.77059,-272.2385254,-110.3663177,-25.95303535,-143.8085022,-0.4,88.0,-2.0,1.6,37.0
38,1618666413.772,1618666413.77159,-249.2493744,-151.3444061,-33.75072861,-164.9389343,-0.4,88.0,-2.0,1.6,38.0
39,1618666413.802,1618666413.80656,-265.7610168,-116.6830063,-11.98824978,-135.3151855,-0.4,87.9,-2.0999999999999943,1.6999999999999944,39.0
40,1618666413.802,1618666413.80756,-233.1678009,-117.7301788,-10.9261179,-157.085144,-0.4,87.9,-2.0999999999999943,1.6999999999999944,40.0
41,1618666413.832,1618666413.83755,-241.6611176,-122.5920486,-7.275975227,-145.9140625,-0.4,87.9,-2.0999999999999943,1.6999999999999944,41.0
42,1618666413.875,1618666413.8735301,-223.5338135,-125.355835,19.81586075,-191.5034485,-0.4,87.9,-2.0999999999999943,1.6999999999999944,42.0
43,1618666413.875,1618666413.87453,-253.3408203,-98.41733551,14.93155098,-104.9883423,-0.4,87.9,-2.0999999999999943,1.6999999999999944,43.0
44,1618666413.905,1618666413.9065099,-227.1016846,-115.175827,5.507002831,-146.677002,-0.4,87.8,-2.200000000000003,1.800000000000003,44.0
45,1618666413.905,1618666413.90751,-208.611618,-115.471283,5.667818546,-155.5368347,-0.4,87.8,-2.200000000000003,1.800000000000003,45.0
46,1618666413.935,1618666413.9384902,-226.4472046,-72.58584595,30.07066536,-74.99434662,-0.4,87.8,-2.200000000000003,1.800000000000003,46.0
47,1618666413.935,1618666413.93949,-244.7203522,-110.3214417,8.753235817,-105.5231476,-0.4,87.8,-2.200000000000003,1.800000000000003,47.0
48,1618666413.966,1618666413.9724698,-195.6528625,-139.5076141,-28.0324192,-158.5100555,-0.4,87.8,-2.200000000000003,1.800000000000003,48.0
49,1618666414.011,1618666414.00445,-197.4592438,-112.7561111,25.30977249,-133.0525513,-0.4,87.8,-2.200000000000003,1.800000000000003,49.0
50,1618666414.102,1618666414.0954,-188.6442871,-124.8135529,-4.826340675,-118.7436905,-0.4,87.7,-2.299999999999997,1.8999999999999972,50.0
51,1618666414.116,1618666414.11641,-211.6671143,-130.8534851,-19.75228119,-156.1875763,-0.4,87.7,-2.299999999999997,1.8999999999999972,51.0
52,1618666414.116,1618666414.1174,-188.9734039,-118.4968567,-15.60847282,-140.8390198,-0.4,87.7,-2.299999999999997,1.8999999999999972,52.0
53,1618666414.131,1618666414.11939,-174.4102325,-125.2324219,-15.5561142,-165.9599304,-0.4,87.7,-2.299999999999997,1.8999999999999972,53.0
54,1618666414.131,1618666414.12039,-186.2993774,-130.1391754,-32.56892014,-153.7678528,-0.4,87.7,-2.299999999999997,1.8999999999999972,54.0
55,1618666414.132,1618666414.12138,-199.6396027,-129.6118469,-13.42063141,-169.6362457,-0.4,87.7,-2.299999999999997,1.8999999999999972,55.0
56,1618666414.132,1618666414.13539,-168.9574585,-138.2809296,-26.2185688,-149.5567322,-0.4,87.7,-2.299999999999997,1.8999999999999972,56.0
57,1618666414.161,1618666414.15936,-189.0033264,-108.2158737,-2.178491831,-169.1089325,-0.4,87.6,-2.4000000000000057,2.0000000000000058,57.0
58,1618666414.191,1618666414.19034,-161.2644806,-118.7249908,-23.256567,-145.8205719,-0.4,87.6,-2.4000000000000057,2.0000000000000058,58.0
59,1618666414.222,1618666414.22732,-155.9463501,-143.4120789,-58.40788651,-177.2993011,-0.4,87.4,-2.5999999999999943,2.1999999999999944,59.0
60,1618666414.235,1618666414.2293198,-169.563324,-119.371994,-20.8667717,-121.1484528,-0.4,87.4,-2.5999999999999943,2.1999999999999944,60.0
61,1618666414.252,1618666414.25531,-152.718811,-130.2738037,-39.98888016,-147.9298706,-0.4,87.2,-2.799999999999997,2.3999999999999972,61.0
62,1618666414.252,1618666414.25631,-145.5531616,-121.8365936,-39.96644211,-178.9336395,-0.4,87.2,-2.799999999999997,2.3999999999999972,62.0
63,1618666414.296,1618666414.2922802,-143.2680817,-181.7310944,-135.8350372,-257.370575,-0.4,86.9,-3.0999999999999943,2.6999999999999944,63.0
64,1618666414.296,1618666414.29828,-146.4170837,-127.8428726,-30.91214371,-188.6947784,-0.4,86.9,-3.0999999999999943,2.6999999999999944,64.0
65,1618666414.325,1618666414.3292599,-90.55793762,332.3948364,-203.2429962,-325.9453735,-0.4,86.4,-3.5999999999999943,3.1999999999999944,65.0
66,1618666414.355,1618666414.35525,30.89531326,669.9656982,-348.3866272,-589.5522461,-0.4,86.4,-3.5999999999999943,3.1999999999999944,66.0
67,1618666414.355,1618666414.35725,-129.9540405,638.93573,-473.4451599,-560.3361206,-0.4,86.4,-3.5999999999999943,3.1999999999999944,67.0
68,1618666414.385,1618666414.38923,-67.53511047,1034.839722,-904.5116577,-742.6936646,-0.5,86.2,-3.799999999999997,3.299999999999997,68.0
69,1618666414.431,1618666414.42497,-165.4344788,733.6057129,-1025.639526,-1148.298828,-0.8,85.9,-4.099999999999994,3.2999999999999945,69.0
70,1618666414.431,1618666414.42697,-110.3569641,639.1526489,-902.2601929,-1166.964722,-0.8,85.9,-4.099999999999994,3.2999999999999945,70.0
71,1618666414.445,1618666414.45396,-132.0596008,973.9503784,-913.9287109,-1059.999878,-0.8,85.9,-4.099999999999994,3.2999999999999945,71.0
72,1618666414.445,1618666414.4549599,-166.204895,1042.532593,-995.9671631,-1045.148682,-0.8,85.9,-4.099999999999994,3.2999999999999945,72.0
73,1618666414.48,1618666414.4839401,-157.7302856,1690.178589,-1047.910645,-509.9222717,-1.2,85.6,-4.400000000000006,3.2000000000000055,73.0
74,1618666414.521,1618666414.51892,-128.2411652,1876.64624,-1048.075195,-139.8292542,-1.8,85.4,-4.599999999999994,2.7999999999999945,74.0
75,1618666414.521,1618666414.52092,-165.2138214,1925.848389,-985.9517212,-240.282959,-1.8,85.4,-4.599999999999994,2.7999999999999945,75.0
76,1618666414.551,1618666414.55091,-212.6357574,-159.7984467,-116.7708969,-154.3269653,-1.8,85.4,-4.599999999999994,2.7999999999999945,76.0
77,1618666414.551,1618666414.5519,-174.9525146,-310.5126648,-276.1916199,-169.4735718,-3.0,85.3,-4.700000000000003,1.7000000000000028,77.0
78,1618666414.58,1618666414.5878801,45.3537674,-26.65052795,42.58624268,381.9111023,-3.0,85.3,-4.700000000000003,1.7000000000000028,78.0
79,1618666414.626,1618666414.62386,-236.2831421,-117.7114792,414.5361328,-27.02451706,-4.4,85.4,-4.599999999999994,0.19999999999999396,79.0
80,1618666414.627,1618666414.62686,-177.877121,-227.9225922,230.8621521,-158.3211823,-4.4,85.4,-4.599999999999994,0.19999999999999396,80.0
81,1618666414.657,1618666414.65585,-51.4049263,-312.057251,103.0155411,-559.3618774,-7.1,85.7,-4.299999999999997,-2.8000000000000025,81.0
82,1618666414.658,1618666414.65784,-226.6528931,-392.5829163,-101.6317825,-702.0409546,-7.1,85.7,-4.299999999999997,-2.8000000000000025,82.0
83,1618666414.686,1618666414.68382,-199.3740692,-387.8556824,103.1053009,-425.7745056,-7.1,85.7,-4.299999999999997,-2.8000000000000025,83.0
84,1618666414.717,1618666414.7218,-220.526947,-303.2516479,-705.3601074,-484.1412659,-9.7,86.1,-3.9000000000000057,-5.799999999999994,84.0
85,1618666414.717,1618666414.7228,-167.9215088,-232.2945404,-698.8452148,-583.8881226,-9.7,86.1,-3.9000000000000057,-5.799999999999994,85.0
86,1618666414.747,1618666414.75179,29.16748047,-258.1839905,-517.946228,-700.838562,-11.9,86.6,-3.4000000000000057,-8.499999999999995,86.0
87,1618666414.76,1618666414.7548,-138.035965,-622.7681274,-891.8184204,-753.960083,-11.9,86.6,-3.4000000000000057,-8.499999999999995,87.0
88,1618666414.777,1618666414.7837698,-57.94226837,-473.9537964,-666.2687988,-1318.518555,-15.3,87.0,-3.0,-12.3,88.0
89,1618666414.82,1618666414.82175,-178.4755096,-710.3640747,-954.4916382,-1143.083618,-15.3,87.0,-3.0,-12.3,89.0
90,1618666414.82,1618666414.82275,-116.6923599,-717.1239624,-814.6081543,-1135.020386,-15.3,87.0,-3.0,-12.3,90.0
91,1618666414.851,1618666414.84973,248.5444031,-157.4273529,-1020.502747,-1637.705933,-18.7,87.7,-2.299999999999997,-16.400000000000002,91.0
92,1618666414.88,1618666414.88571,233.0275574,-221.2898865,-1527.053467,-1527.17688,-22.4,88.8,-1.2000000000000028,-21.199999999999996,92.0
93,1618666414.88,1618666414.88671,340.4898376,-320.1111145,-1517.475586,-1697.716309,-22.4,88.8,-1.2000000000000028,-21.199999999999996,93.0
94,1618666414.911,1618666414.91469,419.7084045,-161.8217316,-1605.862549,-2604.918945,-22.4,88.8,-1.2000000000000028,-21.199999999999996,94.0
95,1618666414.911,1618666414.91669,207.2259827,-212.3141174,-1440.665527,-2459.3396,-22.4,88.8,-1.2000000000000028,-21.199999999999996,95.0
96,1618666414.956,1618666414.95167,821.1174927,172.3495483,-1273.355469,-2750.625244,-25.5,89.6,-0.4000000000000057,-25.099999999999994,96.0
97,1618666414.956,1618666414.95467,677.7633667,15.51684475,-1110.118286,-2521.171387,-25.5,89.6,-0.4000000000000057,-25.099999999999994,97.0
98,1618666414.97,1618666414.97766,712.3686523,-317.9831238,-1034.228149,-2544.515625,-29.0,90.5,0.5,-29.5,98.0
99,1618666415.016,1618666415.0106401,838.4481812,-7.36947298,-1145.207886,-2742.704346,-32.2,91.1,1.0999999999999943,-33.3,99.0
100,1618666415.016,1618666415.01264,800.8696289,8.476483345,-1356.192383,-2580.946045,-32.2,91.1,1.0999999999999943,-33.3,100.0
101,1618666415.046,1618666415.04462,682.7486572,-373.002655,-1235.023438,-2582.950684,-32.2,91.1,1.0999999999999943,-33.3,101.0
102,1618666415.077,1618666415.0796,846.2720337,-75.27857971,-1321.170166,-3142.336914,-34.3,90.9,0.9000000000000057,-35.2,102.0
103,1618666415.077,1618666415.0816,733.7347412,-268.8931885,-1279.049561,-3040.331055,-34.3,90.9,0.9000000000000057,-35.2,103.0
104,1618666415.107,1618666415.11358,644.9195557,-1158.043213,-1198.80249,-3466.543213,-35.2,90.6,0.5999999999999943,-35.8,104.0
105,1618666415.121,1618666415.11558,738.072998,-1375.666138,-1126.932861,-3662.985107,-35.2,90.6,0.5999999999999943,-35.8,105.0
106,1618666415.15,1618666415.14956,598.6569824,-1140.267456,-972.362793,-3992.760254,-35.6,90.3,0.29999999999999716,-35.9,106.0
107,1618666415.18,1618666415.17754,671.1212769,-1356.113892,-863.4812012,-4638.960449,-35.6,90.3,0.29999999999999716,-35.9,107.0
108,1618666415.18,1618666415.1795402,706.6242065,-1363.215942,-661.1993408,-4584.803223,-35.6,90.3,0.29999999999999716,-35.9,108.0
109,1618666415.211,1618666415.20753,728.2669678,-1234.421265,-477.9779053,-4447.433105,-35.5,90.0,0.0,-35.5,109.0
110,1618666415.24,1618666415.2445,828.5897827,-1302.78479,-854.5222778,-4653.759277,-35.4,89.8,-0.20000000000000284,-35.199999999999996,110.0
111,1618666415.24,1618666415.2455,823.9335938,-1108.326782,-675.5643311,-4705.298828,-35.4,89.8,-0.20000000000000284,-35.199999999999996,111.0
112,1618666415.27,1618666415.2765,748.9673462,-1300.247314,213.462265,-5051.608398,-35.3,89.8,-0.20000000000000284,-35.099999999999994,112.0
113,1618666415.286,1618666415.27848,766.3728027,-1646.859375,440.6350098,-5104.381836,-35.3,89.8,-0.20000000000000284,-35.099999999999994,113.0
114,1618666415.302,1618666415.30547,742.1943359,-1293.354614,652.9266968,-5056.054688,-35.3,89.8,-0.20000000000000284,-35.099999999999994,114.0
115,1618666415.346,1618666415.34145,782.3085327,-1120.365601,466.4459229,-5542.27002,-35.5,89.9,-0.09999999999999432,-35.400000000000006,115.0
116,1618666415.346,1618666415.34445,773.5571899,-996.0849609,317.4857178,-5535.896973,-35.5,89.9,-0.09999999999999432,-35.400000000000006,116.0
117,1618666415.376,1618666415.37245,834.7382202,-1010.850098,238.2970734,-5492.727539,-35.8,89.7,-0.29999999999999716,-35.5,117.0
118,1618666415.376,1618666415.37343,721.1050415,-1223.975708,301.0039673,-5509.818848,-35.8,89.7,-0.29999999999999716,-35.5,118.0
119,1618666415.406,1618666415.40241,857.87323,-1435.592407,129.3556671,-5619.121094,-35.8,89.7,-0.29999999999999716,-35.5,119.0
120,1618666415.436,1618666415.43639,725.918335,-1268.667603,106.1907196,-5977.547363,-35.8,89.4,-0.5999999999999943,-35.2,120.0
121,1618666415.437,1618666415.43739,764.9628906,-1226.118774,210.5975037,-6025.526855,-35.8,89.4,-0.5999999999999943,-35.2,121.0
122,1618666415.48,1618666415.4763699,786.9497681,-1125.264893,305.3964844,-6170.223633,-35.7,89.3,-0.7000000000000028,-35.0,122.0
123,1618666415.48,1618666415.47737,680.2990112,-891.7062378,179.5488586,-6408.737305,-35.7,89.3,-0.7000000000000028,-35.0,123.0
124,1618666415.511,1618666415.50635,689.1775513,-878.1340942,547.6166992,-6450.074707,-35.5,89.1,-0.9000000000000057,-34.599999999999994,124.0
125,1618666415.541,1618666415.53933,-219.7434387,-161.558075,-98.80254364,-166.670517,-35.1,88.9,-1.0999999999999943,-34.00000000000001,125.0
126,1618666415.542,1618666415.54133,-242.0407104,-217.174118,-298.4608459,-151.2396851,-35.1,88.9,-1.0999999999999943,-34.00000000000001,126.0
127,1618666415.572,1618666415.57331,-165.4176483,-101.6112137,-154.6242981,-180.5305786,-35.1,88.9,-1.0999999999999943,-34.00000000000001,127.0
128,1618666415.572,1618666415.57531,-252.4301605,-194.7384644,-147.9971924,-194.177475,-35.1,88.9,-1.0999999999999943,-34.00000000000001,128.0
129,1618666415.602,1618666415.6053,-222.241684,-474.9785156,-525.9645996,-147.5222168,-34.7,88.7,-1.2999999999999972,-33.400000000000006,129.0
130,1618666415.632,1618666415.6382802,-196.6981659,-765.2471313,-697.005127,-132.1100922,-34.1,88.3,-1.7000000000000028,-32.4,130.0
131,1618666415.645,1618666415.64027,-250.5489807,-746.7832031,-580.8625488,-107.3781357,-34.1,88.3,-1.7000000000000028,-32.4,131.0
132,1618666415.675,1618666415.67426,-228.0460052,-258.9562683,-714.1451416,-187.5204468,-33.5,88.1,-1.9000000000000057,-31.599999999999994,132.0
133,1618666415.675,1618666415.67525,-241.4535522,-239.6696167,-714.7023315,-168.5741272,-33.5,88.1,-1.9000000000000057,-31.599999999999994,133.0
134,1618666415.705,1618666415.70424,-268.7099304,-235.8399658,-706.343689,-145.5774689,-33.5,88.1,-1.9000000000000057,-31.599999999999994,134.0
135,1618666415.735,1618666415.73422,-223.217804,-75.02426147,-173.634201,-191.6829681,-32.5,87.4,-2.5999999999999943,-29.900000000000006,135.0
136,1618666415.735,1618666415.73522,-76.98397064,-14.32942677,-138.389389,-123.964592,-32.5,87.4,-2.5999999999999943,-29.900000000000006,136.0
137,1618666415.767,1618666415.7712,-252.3104858,-85.89989471,-181.4692993,-146.0786285,-31.4,86.8,-3.200000000000003,-28.199999999999996,137.0
138,1618666415.767,1618666415.7732,-221.1309357,-187.1576843,-139.3468018,-192.3000488,-31.4,86.8,-3.200000000000003,-28.199999999999996,138.0
139,1618666415.795,1618666415.79618,-197.4910278,-221.3067169,-240.5410156,-96.02754211,-29.6,86.1,-3.9000000000000057,-25.699999999999996,139.0
140,1618666415.826,1618666415.8297698,-243.7124481,-779.2941895,-207.1474457,-124.14785,-29.6,86.1,-3.9000000000000057,-25.699999999999996,140.0
141,1618666415.871,1618666415.86777,-205.2513123,-549.5895386,-143.8459015,-151.2696075,-27.7,85.3,-4.700000000000003,-22.999999999999996,141.0
142,1618666415.871,1618666415.86875,-157.8256531,-494.7999878,-126.0551987,-209.4736633,-27.7,85.3,-4.700000000000003,-22.999999999999996,142.0
143,1618666415.902,1618666415.90173,-234.594574,-625.0756836,-129.5856628,-167.7850037,-24.9,85.0,-5.0,-19.9,143.0
144,1618666415.902,1618666415.90573,-172.3439331,-694.2039795,-202.1359863,-263.8892212,-24.9,85.0,-5.0,-19.9,144.0
145,1618666415.931,1618666415.9307199,-202.0387421,-422.4329224,-105.7288437,-135.2964935,-24.9,85.0,-5.0,-19.9,145.0
146,1618666415.932,1618666415.93171,-270.8491516,-774.5669556,-198.3287659,-107.8044891,-24.9,85.0,-5.0,-19.9,146.0
147,1618666415.962,1618666415.96669,-244.2210693,-645.3683472,-144.4405518,-589.647583,-22.2,84.5,-5.5,-16.7,147.0
148,1618666415.992,1618666415.99568,-216.9684296,-626.4968262,-101.0352707,-579.9612427,-18.9,84.4,-5.599999999999994,-13.300000000000004,148.0
149,1618666415.992,1618666415.99668,-172.0036163,-841.0193481,-103.5260391,-562.5856934,-18.9,84.4,-5.599999999999994,-13.300000000000004,149.0
150,1618666416.035,1618666416.03066,-215.4088898,-166.6817322,-10.27911472,-400.872406,-15.7,84.4,-5.599999999999994,-10.100000000000005,150.0
151,1618666416.065,1618666416.06564,-128.0822296,-27.43029594,-52.13233566,-676.9443359,-15.7,84.4,-5.599999999999994,-10.100000000000005,151.0
152,1618666416.065,1618666416.06764,-158.9064789,-183.4477081,-99.10173798,-622.1697388,-15.7,84.4,-5.599999999999994,-10.100000000000005,152.0
153,1618666416.096,1618666416.09262,-132.622467,44.02797318,-70.82809448,-648.5584717,-12.1,84.7,-5.299999999999997,-6.8000000000000025,153.0
154,1618666416.096,1618666416.09462,-189.2557678,213.8998413,-123.1006775,-564.9642334,-12.1,84.7,-5.299999999999997,-6.8000000000000025,154.0
155,1618666416.126,1618666416.1296,-95.50769806,-87.81658936,15.70570946,-666.7867432,-9.8,84.9,-5.099999999999994,-4.700000000000006,155.0
156,1618666416.171,1618666416.16558,-151.4266815,342.8497314,-52.46144485,-595.882019,-7.2,85.3,-4.700000000000003,-2.4999999999999973,156.0
157,1618666416.171,1618666416.16658,-143.1465454,332.8155518,-79.79263306,-641.0413208,-7.2,85.3,-4.700000000000003,-2.4999999999999973,157.0
158,1618666416.201,1618666416.19456,-158.0874481,337.5652466,-9.920084953,-552.1775513,-7.2,85.3,-4.700000000000003,-2.4999999999999973,158.0
159,1618666416.201,1618666416.19556,-158.1772003,302.3316345,-106.1140518,-567.0510864,-7.2,85.3,-4.700000000000003,-2.4999999999999973,159.0
160,1618666416.232,1618666416.23154,-88.95912933,431.4778748,-126.8667526,-717.211853,-5.9,85.6,-4.400000000000006,-1.4999999999999947,160.0
161,1618666416.232,1618666416.23354,-138.1463013,202.2257385,-18.92202377,-489.7623291,-5.9,85.6,-4.400000000000006,-1.4999999999999947,161.0
162,1618666416.262,1618666416.26152,-82.71723938,317.3361206,-8.476483345,-640.6598511,-4.7,85.8,-4.200000000000003,-0.49999999999999734,162.0
163,1618666416.291,1618666416.28953,-81.67754364,279.6341858,-39.85050583,-578.6074219,-4.1,86.2,-3.799999999999997,-0.3000000000000025,163.0
164,1618666416.322,1618666416.3234901,-94.95419312,830.8973389,-43.40715027,-565.3382568,-4.1,86.2,-3.799999999999997,-0.3000000000000025,164.0
165,1618666416.322,1618666416.32549,-87.66512299,849.3051147,-17.34004593,-529.3379517,-4.1,86.2,-3.799999999999997,-0.3000000000000025,165.0
166,1618666416.365,1618666416.3604698,-99.83101654,719.4483032,-58.93147278,-731.5880127,-3.6,86.5,-3.5,-0.10000000000000009,166.0
167,1618666416.365,1618666416.3624802,-141.6468353,791.8228149,-16.71922302,-975.4837036,-3.6,86.5,-3.5,-0.10000000000000009,167.0
168,1618666416.395,1618666416.39145,-106.6712952,758.6574097,-58.64723969,-1031.099731,-3.3,86.9,-3.0999999999999943,-0.2000000000000055,168.0
169,1618666416.395,1618666416.39247,-87.43698883,766.4139404,-75.63386536,-1108.878418,-3.3,86.9,-3.0999999999999943,-0.2000000000000055,169.0
170,1618666416.426,1618666416.43258,-94.45677948,786.0858154,-58.48268509,-961.982666,-2.9,87.3,-2.700000000000003,-0.19999999999999707,170.0
171,1618666416.441,1618666416.4335802,-108.8441772,750.1453857,-56.79598999,-1170.747681,-2.9,87.3,-2.700000000000003,-0.19999999999999707,171.0
172,1618666416.455,1618666416.45456,-96.06867981,826.4655151,-14.67723751,-1057.92981,-2.9,87.3,-2.700000000000003,-0.19999999999999707,172.0
173,1618666416.486,1618666416.49156,-111.4882889,779.6307373,-68.22138214,-1085.93042,-2.8,87.4,-2.5999999999999943,-0.2000000000000055,173.0
174,1618666416.486,1618666416.4925401,-92.93838501,773.5197754,-53.19072723,-1136.146118,-2.8,87.4,-2.5999999999999943,-0.2000000000000055,174.0
175,1618666416.515,1618666416.5225198,-66.87128448,688.5343018,-178.3240356,-1247.370728,-2.6,87.7,-2.299999999999997,-0.30000000000000293,175.0
176,1618666416.56,1618666416.55352,-115.5255127,-139.9564056,-6.557914734,-76.50339508,-2.5,87.8,-2.200000000000003,-0.29999999999999716,176.0
177,1618666416.56,1618666416.5545,-135.391861,-199.2674866,-43.69137955,-53.85829926,-2.5,87.8,-2.200000000000003,-0.29999999999999716,177.0
178,1618666416.577,1618666416.5834901,-92.08381653,-206.4854889,-76.93534851,-144.8799896,-2.5,87.8,-2.200000000000003,-0.29999999999999716,178.0
