Sample Index	 EXG Channel 0	 EXG Channel 1	 EXG Channel 2	 EXG Channel 3	 Accel Channel 0	 Accel Channel 1	 Accel Channel 2	 Other	 Other	 Other	 Other	 Other	 Timestamp	 Timestamp (Formatted)
2	-9.499345779	-14.0358448	-4.424301624	0.987333596	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.502
2	-21.82979584	-5.516352654	-2.924601793	3.392089367	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.502
3	11.21222019	-8.42973423	-5.377975941	-20.2104187	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.516
3	-8.283878326	-9.274951935	-7.195567608	-12.30053139	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.516
4	-15.61408234	-11.33189678	-5.30317831	-3.29485178	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.517
4	-7.850049973	-12.408988	-16.51913834	-19.51853752	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.517
5	13.90494823	-2.599230528	-6.61214304	-41.18377686	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.530
5	1.589457512	11.91532135	1.200507879	22.40948105	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.530
6	-17.4915123	6.780438423	-0.560984969	3.500546455	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.546
6	-3.638922691	-9.981793404	-4.693574429	-19.3465023	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.546
7	11.06636429	-13.49729919	-39.09317398	-42.35810852	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.547
7	12.57728386	4.555198193	-12.29305077	-71.31615448	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.547
8	-21.27255058	12.839077	30.0052166	56.55476761	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.560
8	-1.032212377	18.08241653	7.225486755	-3.126556396	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.560
9	8.583070755	4.921708107	1.290265441	-21.26881027	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.576
9	-2.247679949	0.205694497	-6.3279109	-12.97745323	-0.064000003	0	0	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.576
10	-16.57523727	3.911935329	-9.615283012	-9.484386444	-0.064000003	0	-0.176000014	0	0	0	0	0	1.62E+09	 2021-04-17 16:33:24.577
